M,N,K,cuBLAS,Triton
256.0,256.0,256.0,4.5,3.3
384.0,384.0,384.0,9.2,8.8
512.0,512.0,512.0,18.3,16.0
640.0,640.0,640.0,25.2,22.8
768.0,768.0,768.0,27.1,23.2
896.0,896.0,896.0,37.5,31.9
1024.0,1024.0,1024.0,49.9,41.9
1152.0,1152.0,1152.0,34.9,29.8
1280.0,1280.0,1280.0,43.4,34.0
1408.0,1408.0,1408.0,52.7,41.6
1536.0,1536.0,1536.0,48.0,34.0
1664.0,1664.0,1664.0,50.6,40.5
1792.0,1792.0,1792.0,52.5,45.1
1920.0,1920.0,1920.0,50.2,40.4
2048.0,2048.0,2048.0,57.3,47.0
2176.0,2176.0,2176.0,44.1,41.6
2304.0,2304.0,2304.0,49.0,44.2
2432.0,2432.0,2432.0,53.9,41.9
2560.0,2560.0,2560.0,58.5,47.3
2688.0,2688.0,2688.0,49.4,45.7
2816.0,2816.0,2816.0,53.8,43.5
2944.0,2944.0,2944.0,56.6,45.3
3072.0,3072.0,3072.0,50.6,44.4
3200.0,3200.0,3200.0,53.7,43.5
3328.0,3328.0,3328.0,56.8,45.2
3456.0,3456.0,3456.0,52.1,44.7
3584.0,3584.0,3584.0,55.0,44.2
3712.0,3712.0,3712.0,51.1,43.7
3840.0,3840.0,3840.0,53.5,45.7
3968.0,3968.0,3968.0,51.9,45.5
4096.0,4096.0,4096.0,54.7,46.3
