N,Triton,Torch (native),Torch (jit)
256.0,409.6,423.5,152.5
384.0,448.4,454.1,149.9
512.0,469.4,458.7,150.7
640.0,486.2,465.5,153.6
768.0,493.4,462.9,155.8
896.0,499.6,462.7,157.5
1024.0,508.3,468.1,161.5
1152.0,501.6,461.3,163.1
1280.0,505.9,481.3,166.1
1408.0,511.6,433.2,167.2
1536.0,512.3,472.6,167.4
1664.0,513.1,459.0,168.8
1792.0,516.2,484.2,170.5
1920.0,514.5,468.4,171.6
2048.0,517.9,489.1,172.2
2176.0,516.2,459.6,170.7
2304.0,518.1,466.9,172.5
2432.0,518.7,452.6,173.4
2560.0,518.9,467.3,174.4
2688.0,519.4,385.5,174.8
2816.0,521.9,402.2,175.5
2944.0,522.4,408.5,176.0
3072.0,522.9,416.5,176.3
3200.0,522.4,387.9,176.3
3328.0,522.8,407.1,176.9
3456.0,522.4,445.4,176.8
3584.0,522.9,460.3,174.5
3712.0,523.1,453.4,176.7
3840.0,523.9,459.8,177.7
3968.0,521.1,459.3,177.3
4096.0,521.7,509.6,178.1
4224.0,520.6,497.2,177.9
4352.0,520.9,489.6,174.5
4480.0,519.4,481.1,176.1
4608.0,520.5,471.7,175.5
4736.0,519.0,467.5,177.6
4864.0,519.7,452.5,178.2
4992.0,519.8,443.6,178.6
5120.0,520.4,430.6,178.9
5248.0,518.5,428.0,179.0
5376.0,518.2,414.3,179.2
5504.0,518.0,406.7,179.4
5632.0,517.9,396.6,179.5
5760.0,517.4,394.2,179.3
5888.0,517.2,384.5,179.3
6016.0,515.8,378.8,179.9
6144.0,516.8,384.8,179.9
6272.0,515.9,378.7,180.0
6400.0,517.5,372.3,180.1
6528.0,516.9,365.2,180.1
6656.0,517.2,361.6,180.2
6784.0,515.8,356.7,180.3
6912.0,516.6,351.1,180.4
7040.0,514.5,346.3,180.4
7168.0,515.6,342.4,178.9
7296.0,514.3,340.6,179.7
7424.0,514.3,336.6,180.2
7552.0,514.0,332.0,180.3
7680.0,515.4,328.0,180.6
7808.0,514.1,329.8,180.8
7936.0,514.2,323.1,180.8
8064.0,513.8,320.5,180.8
8192.0,511.8,318.0,180.3
8320.0,515.7,323.1,179.4
8448.0,515.8,320.8,179.6
8576.0,513.9,316.2,179.6
8704.0,515.2,313.0,179.9
8832.0,515.0,314.2,180.0
8960.0,514.5,309.0,180.3
9088.0,514.0,305.9,180.4
9216.0,513.8,302.2,180.5
9344.0,512.7,310.8,180.6
9472.0,513.9,304.8,180.8
9600.0,513.2,301.4,180.8
9728.0,513.7,298.8,180.8
9856.0,512.1,316.6,181.0
9984.0,513.6,306.1,181.1
10112.0,511.4,297.4,181.1
10240.0,512.8,295.2,181.0
10368.0,510.8,302.5,180.5
10496.0,512.3,296.8,180.6
10624.0,511.6,292.1,180.7
10752.0,512.3,287.8,180.9
10880.0,512.0,294.5,180.9
11008.0,512.4,289.2,181.0
11136.0,510.5,284.3,181.1
11264.0,512.8,283.3,181.1
11392.0,459.6,247.4,181.3
11520.0,511.8,282.0,181.4
11648.0,511.6,279.9,181.4
11776.0,510.7,279.1,181.4
11904.0,510.5,278.5,181.5
12032.0,510.6,277.4,181.6
12160.0,510.5,276.5,181.5
12288.0,510.7,278.2,181.5
12416.0,509.4,278.0,181.1
12544.0,510.5,277.6,181.3
12672.0,510.7,277.1,181.3
