M,N,K,cuBLAS,Triton
256.0,256.0,256.0,4.7,4.7
384.0,384.0,384.0,12.3,13.8
512.0,512.0,512.0,23.8,23.8
640.0,640.0,640.0,34.1,42.7
768.0,768.0,768.0,42.1,44.2
896.0,896.0,896.0,61.1,63.9
1024.0,1024.0,1024.0,69.9,83.9
1152.0,1152.0,1152.0,64.9,72.8
1280.0,1280.0,1280.0,65.0,75.9
1408.0,1408.0,1408.0,77.9,89.4
1536.0,1536.0,1536.0,75.3,77.8
1664.0,1664.0,1664.0,85.7,86.5
1792.0,1792.0,1792.0,74.4,76.5
1920.0,1920.0,1920.0,86.4,84.8
2048.0,2048.0,2048.0,81.8,95.3
2176.0,2176.0,2176.0,79.2,85.3
2304.0,2304.0,2304.0,74.0,81.3
2432.0,2432.0,2432.0,76.1,85.1
2560.0,2560.0,2560.0,76.4,82.1
2688.0,2688.0,2688.0,81.6,87.2
2816.0,2816.0,2816.0,76.5,86.9
2944.0,2944.0,2944.0,76.6,82.4
3072.0,3072.0,3072.0,81.5,87.1
3200.0,3200.0,3200.0,78.4,83.8
3328.0,3328.0,3328.0,78.1,82.1
3456.0,3456.0,3456.0,75.8,83.0
3584.0,3584.0,3584.0,72.0,80.2
3712.0,3712.0,3712.0,75.5,82.5
3840.0,3840.0,3840.0,72.9,79.4
3968.0,3968.0,3968.0,74.9,81.9
4096.0,4096.0,4096.0,85.1,84.9
