N,Triton,Torch (native),Torch (jit)
256.0,409.6,421.1,154.7
384.0,443.8,443.6,148.9
512.0,470.2,455.1,151.1
640.0,484.7,462.2,153.0
768.0,493.7,469.2,155.5
896.0,499.6,464.6,157.7
1024.0,507.8,468.5,162.1
1152.0,501.1,462.6,163.4
1280.0,505.0,482.6,165.7
1408.0,510.9,433.4,167.0
1536.0,512.2,472.6,167.9
1664.0,512.2,459.0,169.3
1792.0,515.0,482.8,170.6
1920.0,514.8,469.0,171.7
2048.0,516.7,488.7,172.0
2176.0,516.0,459.9,170.9
2304.0,517.7,467.2,172.8
2432.0,518.8,453.3,173.3
2560.0,518.7,467.6,174.4
2688.0,519.2,386.4,175.0
2816.0,520.7,402.3,175.3
2944.0,522.1,409.6,175.9
3072.0,522.5,417.2,176.2
3200.0,522.4,388.3,176.3
3328.0,522.4,408.6,176.9
3456.0,521.9,445.9,177.0
3584.0,523.1,461.8,174.5
3712.0,522.7,453.9,176.7
3840.0,523.7,461.4,177.7
3968.0,521.2,460.1,177.3
4096.0,521.3,509.0,178.1
4224.0,520.4,497.2,177.8
4352.0,520.4,488.8,175.8
4480.0,519.3,481.1,176.6
4608.0,519.3,471.9,176.0
4736.0,519.0,467.8,177.9
4864.0,518.8,452.3,178.1
4992.0,518.6,442.9,178.6
5120.0,520.2,430.9,179.0
5248.0,519.1,428.0,179.1
5376.0,518.2,414.0,179.2
5504.0,517.5,406.4,179.4
5632.0,517.9,396.8,179.6
5760.0,516.5,394.1,179.3
5888.0,517.5,384.5,179.2
6016.0,516.6,378.9,179.9
6144.0,517.0,384.9,179.9
6272.0,515.4,378.9,180.0
6400.0,517.5,372.2,180.0
6528.0,516.7,365.1,180.1
6656.0,516.7,361.8,180.2
6784.0,515.5,356.7,180.3
6912.0,516.5,351.1,180.1
7040.0,514.3,346.6,180.3
7168.0,514.4,342.4,178.9
7296.0,513.8,340.6,179.6
7424.0,515.7,337.0,180.1
7552.0,513.4,332.0,180.4
7680.0,514.1,327.7,180.6
7808.0,514.0,329.5,180.7
7936.0,514.2,323.4,180.7
8064.0,513.3,320.5,180.7
8192.0,511.3,317.6,180.3
8320.0,514.0,323.1,179.3
8448.0,515.4,321.1,179.5
8576.0,513.6,316.0,179.7
8704.0,514.0,313.1,179.9
8832.0,514.2,314.0,180.0
8960.0,513.9,309.0,180.2
9088.0,513.8,305.5,180.4
9216.0,513.8,302.0,180.5
9344.0,512.4,309.8,180.6
9472.0,514.0,305.0,180.8
9600.0,512.6,301.1,180.8
9728.0,513.7,298.8,181.0
9856.0,512.0,316.8,181.0
9984.0,513.6,307.0,181.1
10112.0,511.6,296.6,181.1
10240.0,513.1,295.3,181.1
10368.0,510.9,301.7,180.6
10496.0,512.5,297.2,180.6
10624.0,511.6,291.8,180.6
10752.0,512.2,288.5,180.9
10880.0,512.0,293.5,181.0
11008.0,513.2,288.4,181.0
11136.0,511.5,284.2,181.1
11264.0,513.1,283.4,181.2
11392.0,459.2,247.1,181.3
11520.0,511.7,281.9,181.4
11648.0,510.6,279.8,181.4
11776.0,510.8,278.8,181.5
11904.0,510.4,278.6,181.6
12032.0,510.6,277.4,181.6
12160.0,510.7,276.5,181.5
12288.0,510.6,278.4,181.5
12416.0,509.4,278.1,181.3
12544.0,510.1,277.8,181.3
12672.0,510.2,277.0,181.3
